IP	Input	Age	Lab
ENCFF689COG	ENCFF650MAG	61	Bradley Bernstein, Broad
ENCFF417BHH	ENCFF650MAG	61	Bradley Bernstein, Broad
ENCFF217IJW	ENCFF877EOG	54	Bradley Bernstein, Broad
ENCFF869PEP	ENCFF877EOG	54	Bradley Bernstein, Broad
ENCFF440LEQ	ENCFF877EOG	54	Bradley Bernstein, Broad
ENCFF800EUJ	ENCFF877EOG	54	Bradley Bernstein, Broad
ENCFF674BQL	ENCFF074BLL	53	Bradley Bernstein, Broad
ENCFF007TBV	ENCFF074BLL	53	Bradley Bernstein, Broad
ENCFF547YCY	ENCFF074BLL	53	Bradley Bernstein, Broad
ENCFF793WPL	ENCFF074BLL	53	Bradley Bernstein, Broad
ENCFF814AUB	ENCFF420XCA	51	Bradley Bernstein, Broad
ENCFF203TIC	ENCFF420XCA	51	Bradley Bernstein, Broad
ENCFF305JXR	ENCFF420XCA	51	Bradley Bernstein, Broad
ENCFF998RTI	ENCFF420XCA	51	Bradley Bernstein, Broad
ENCFF024MIO	ENCFF916HOD	34	Zhiping Weng, UMass
ENCFF537VQM	ENCFF033TIJ	37	Bradley Bernstein, Broad
ENCFF989KCU	ENCFF033TIJ	37	Bradley Bernstein, Broad
ENCFF742JGZ	ENCFF033TIJ	37	Bradley Bernstein, Broad
ENCFF746YOC	ENCFF880COG	41	Bradley Bernstein, Broad
ENCFF632ZIJ	ENCFF880COG	41	Bradley Bernstein, Broad
ENCFF772AWQ	ENCFF858WTP	30	Zhiping Weng, UMass
ENCFF553ZRR	ENCFF504FPW	26	Bradley Bernstein, Broad
ENCFF892CVQ	ENCFF504FPW	26	Bradley Bernstein, Broad
ENCFF879ZCL	ENCFF132QOQ	59	Bradley Bernstein, Broad
ENCFF453JRN	ENCFF132QOQ	59	Bradley Bernstein, Broad
